NumThreads, Function, Fitness, Np, Nd, lastStep, bestStep, Evals, Position Time, Fitness Time, Velocity Time, Total Time,,,Average Time,,,,,,,,,
4,F2,-124.746,100,100,3000,1218,300000,0.200696,0.365294,1.55111,2.11833,,,,,,,,,,,,
4,F2,-143.368,100,100,3000,2999,300000,0.200645,0.458602,1.55329,2.2138,,,,,,,,,,,,
4,F2,-130.494,100,100,3000,1444,300000,0.20095,0.3505,1.55474,2.10738,,,,,,,,,,,,
4,F2,-141.644,100,100,3000,1254,300000,0.200867,0.353846,1.55911,2.11502,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,F2,-108.893,150,100,3000,2999,450000,0.295229,0.669867,2.3309,3.29763,,,,,,,,,,,,
4,F2,-127.639,150,100,3000,2066,450000,0.294717,0.547359,2.34334,3.1871,,,,,,,,,,,,
4,F2,-105.286,150,100,3000,2999,450000,0.297573,0.652909,2.35091,3.30298,,,,,,,,,,,,
4,F2,-131.041,150,100,3000,2999,450000,0.294498,0.681363,2.34799,3.32546,,,,,,,,,,,,
4,F2,-102.442,150,100,3000,1392,450000,0.294549,0.533564,2.32693,3.15667,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,F2,-90.2219,200,100,3000,1438,600000,0.390426,0.688517,3.09306,4.17389,,,,,,,,,,,,
4,F2,-114.384,200,100,3000,1230,600000,0.393308,0.711406,3.11395,4.2205,,,,,,,,,,,,
4,F2,-109.267,200,100,3000,1259,600000,0.392062,0.730037,3.111,4.23502,,,,,,,,,,,,
4,F2,-120.559,200,100,3000,2964,600000,0.390997,0.800459,3.11055,4.30388,,,,,,,,,,,,
4,F2,-104.354,200,100,3000,2999,600000,0.393975,0.915444,3.12603,4.43733,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,F2,-100.385,250,100,3000,2041,750000,0.49022,0.875176,3.89577,5.26347,,,,,,,,,,,,
4,F2,-93.4523,250,100,3000,1381,750000,0.499434,0.857177,4.01001,5.36877,,,,,,,,,,,,
4,F2,-99.2135,250,100,3000,1345,750000,0.496027,0.858814,3.98942,5.34641,,,,,,,,,,,,
4,F2,-70.6024,250,100,3000,2981,750000,0.496236,0.899334,4.01823,5.41595,,,,,,,,,,,,
4,F2,-105.204,250,100,3000,1262,750000,0.495684,0.903456,3.97702,5.37833,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,F2,-103.6,300,100,3000,1676,900000,0.596909,1.07668,4.80687,6.48281,,,,,,,,,,,,
4,F2,-114.5,300,100,3000,2301,900000,0.598859,1.13894,4.84777,6.58801,,,,,,,,,,,,
4,F2,-108.821,300,100,3000,1670,900000,0.595799,1.03888,4.78852,6.42552,,,,,,,,,,,,
4,F2,-114.798,300,100,3000,2999,900000,0.596014,1.18378,4.80372,6.58591,,,,,,,,,,,,
4,F2,-91.5736,300,100,3000,2974,900000,0.595207,1.10625,4.78485,6.48861,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,F2,-80.5986,350,100,3000,2927,1050000,0.693663,1.23944,5.59206,7.52786,,,,,,,,,,,,
4,F2,-123.682,350,100,3000,1490,1050000,0.695198,1.24261,5.62431,7.56484,,,,,,,,,,,,
4,F2,-105.585,350,100,3000,1724,1050000,0.692733,1.25568,5.58626,7.53735,,,,,,,,,,,,
4,F2,-84.5906,350,100,3000,2999,1050000,0.693266,1.42551,5.58627,7.70785,,,,,,,,,,,,
4,F2,-105.583,350,100,3000,2687,1050000,0.693178,1.31326,5.59912,7.60827,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,F2,-81.7112,400,100,3000,2999,1200000,0.793844,1.52673,6.41619,8.73984,,,,,,,,,,,,
4,F2,-70.7809,400,100,3000,2999,1200000,0.793498,1.60013,6.4159,8.8125,,,,,,,,,,,,
4,F2,-86.5728,400,100,3000,1712,1200000,0.793863,1.34453,6.40896,8.55036,,,,,,,,,,,,
4,F2,-80.9348,400,100,3000,2999,1200000,0.793247,1.53582,6.39812,8.73018,,,,,,,,,,,,
4,F2,-81.5886,400,100,3000,2999,1200000,0.792957,1.56481,6.39099,8.75175,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,F2,-99.5203,450,100,3000,2115,1350000,0.892274,1.55724,7.20332,9.65613,,,,,,,,,,,,
4,F2,-114.434,450,100,3000,2999,1350000,0.893221,1.71569,7.19897,9.81119,,,,,,,,,,,,
4,F2,-78.7549,450,100,3000,2999,1350000,0.892342,1.85303,7.22893,9.97771,,,,,,,,,,,,
4,F2,-104.514,450,100,3000,1728,1350000,0.891708,1.5811,7.19335,9.66952,,,,,,,,,,,,
4,F2,-112.049,450,100,3000,2999,1350000,0.894186,1.72798,7.21238,9.83795,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,F2,-83.5939,500,100,3000,2210,1500000,0.993503,1.74043,8.0684,10.806,,,,,,,,,,,,
4,F2,-78.7102,500,100,3000,1400,1500000,0.99042,1.70673,8.03542,10.7363,,,,,,,,,,,,
4,F2,-94.5344,500,100,3000,1326,1500000,0.990587,1.81288,8.00544,10.8126,,,,,,,,,,,,
4,F2,-68.7918,500,100,3000,1531,1500000,0.994381,1.69564,8.04426,10.7379,,,,,,,,,,,,
4,F2,-90.5712,500,100,3000,2212,1500000,0.996535,1.74302,8.0307,10.7739,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5,F2,-183.915,50,100,3000,1404,150000,0.0944703,0.170414,0.70823,0.97453,,,,,,,,,,,,
5,F2,-181.032,50,100,3000,1310,150000,0.0886777,0.156209,0.656368,0.902087,,,,,,,,,,,,
5,F2,-164.439,50,100,3000,2999,150000,0.0880325,0.176035,0.65903,0.923999,,,,,,,,,,,,
5,F2,-172.762,50,100,3000,2932,150000,0.0945199,0.171058,0.68702,0.953461,,,,,,,,,,,,
5,F2,-183.335,50,100,3000,1429,150000,0.0879616,0.152115,0.651014,0.891929,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5,F2,-89.9303,100,100,3000,2147,300000,0.167718,0.332759,1.30836,1.80999,,,,,,,,,,,,
5,F2,-134.445,100,100,3000,1267,300000,0.165909,0.304446,1.28966,1.76122,,,,,,,,,,,,
5,F2,-121.534,100,100,3000,1269,300000,0.166038,0.290559,1.29406,1.75175,,,,,,,,,,,,
5,F2,-133.255,100,100,3000,2999,300000,0.165757,0.389733,1.29805,1.85468,,,,,,,,,,,,
5,F2,-134.983,100,100,3000,2999,300000,0.16585,0.378616,1.29371,1.83934,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5,F2,-130.132,150,100,3000,2999,450000,0.244409,0.571334,1.93385,2.7511,,,,,,,,,,,,
5,F2,-132.597,150,100,3000,2999,450000,0.24501,0.593687,1.93274,2.77286,,,,,,,,,,,,
5,F2,-108.138,150,100,3000,1524,450000,0.245228,0.435508,1.93902,2.62117,,,,,,,,,,,,
5,F2,-92.9923,150,100,3000,1278,450000,0.245341,0.438887,1.93386,2.61953,,,,,,,,,,,,
5,F2,-128.347,150,100,3000,2465,450000,0.24493,0.442747,1.93175,2.62092,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5,F2,-120.843,200,100,3000,1670,600000,0.32693,0.565428,2.59343,3.48744,,,,,,,,,,,,
5,F2,-105.759,200,100,3000,1771,600000,0.323899,0.583747,2.57115,3.48046,,,,,,,,,,,,
5,F2,-112.76,200,100,3000,1287,600000,0.32424,0.589245,2.5571,3.47223,,,,,,,,,,,,
5,F2,-91.5116,200,100,3000,1724,600000,0.323457,0.593928,2.57916,3.49824,,,,,,,,,,,,
